FL_DATE,OP_CARRIER,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_DELAY,DISTANCE,DAY_OF_WEEK,WEATHER_DELAY,CARRIER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023-01-01,WN,LAX,EWR,844,-8.4,-21.5,492.0,5,0.0,0.0,0.0,0.0,0.0
2023-01-01,AA,CLT,LGA,1126,86.4,62.8,410.0,4,0.0,14.1,0.0,0.0,0.0
2023-01-01,DL,SEA,PHL,930,8.5,-10.5,958.0,6,11.6,0.0,0.0,0.0,0.0
2023-01-01,WN,LAX,EWR,1516,-11.8,-14.6,551.0,7,0.0,55.5,0.0,0.0,0.0
2023-01-01,B6,EWR,CLT,1733,11.7,21.9,457.0,1,0.0,0.0,0.0,0.0,9.1
2023-01-01,DL,LAS,LAX,1004,-3.0,-9.2,706.0,4,0.0,0.0,0.0,0.0,0.0
2023-01-01,AA,LAS,SFO,2011,-9.8,2.5,1026.0,2,0.0,0.0,0.0,0.0,0.0
2023-01-01,G4,ORD,ATL,1322,25.0,21.5,1173.0,4,0.0,0.0,0.0,0.0,0.0
2023-01-01,F9,BWI,CLT,2046,-5.6,-6.6,151.0,2,0.0,0.0,0.0,0.0,0.0
2023-01-01,DL,ORD,PHL,1127,-2.7,-19.0,320.0,5,0.0,0.0,0.0,0.0,0.0
2023-01-01,F9,ORD,ATL,913,-5.2,7.3,1169.0,3,0.0,0.0,0.0,0.0,0.0
2023-01-01,DL,LAX,LGA,1218,27.3,24.4,789.0,4,0.0,0.0,0.0,0.0,0.0
2023-01-01,AS,PHX,LAS,1034,35.3,14.0,1235.0,1,0.0,0.1,0.0,0.0,0.0
2023-01-01,F9,SLC,DEN,904,-4.3,0.2,766.0,7,0.0,0.0,0.0,0.0,0.0
2023-01-01,UA,LAX,MDW,713,-13.5,-17.4,826.0,7,0.0,0.0,8.5,0.0,0.0
2023-01-01,DL,SLC,JFK,1103,2.4,2.7,544.0,2,0.0,0.0,0.0,1.8,0.0
2023-01-01,B6,MCO,CLT,1423,-11.6,-7.5,986.0,4,0.0,0.0,0.0,0.0,0.0
2023-01-01,AA,MCO,JFK,1735,-11.2,2.6,712.0,5,0.0,28.6,0.0,0.0,0.0
2023-01-01,YX,BOS,SEA,1926,7.5,-4.9,508.0,3,0.0,37.3,0.0,0.0,0.0
2023-01-01,AA,PHX,MIA,728,-11.6,-4.1,297.0,6,0.0,0.0,0.0,0.0,0.0
2023-01-01,OO,DTW,BOS,1036,-20.5,-4.1,147.0,3,0.0,0.0,0.0,0.0,0.0
2023-01-01,YV,MDW,FLL,1400,3.0,27.8,272.0,1,0.0,0.0,0.0,0.0,0.0
2023-01-01,AA,PHL,DTW,1424,-4.4,6.8,302.0,3,0.0,0.0,0.0,0.0,0.0
2023-01-01,B6,DEN,DFW,1920,-3.7,0.5,828.0,3,0.0,0.0,0.0,0.0,0.0
2023-01-01,NK,CLT,LGA,1246,-4.5,-1.1,1034.0,3,37.5,8.1,4.5,0.0,0.0
2023-01-01,9E,JFK,DTW,1214,16.6,29.6,757.0,7,0.0,0.0,0.0,0.0,0.0
2023-01-01,AA,DTW,JFK,1036,-8.0,-9.7,562.0,7,0.0,21.8,0.0,0.0,0.0
2023-01-01,UA,DEN,JFK,2233,9.8,16.3,336.0,4,43.7,28.6,0.0,0.0,0.0
2023-01-01,DL,EWR,MIA,817,-13.8,10.2,1484.0,5,0.0,0.0,0.0,0.0,0.0
2023-01-01,OH,SEA,LAX,1635,1.6,0.3,997.0,7,0.0,0.0,0.0,0.0,0.0
2023-01-01,YX,PHX,EWR,1217,3.1,-17.5,545.0,1,0.0,0.0,0.0,0.0,0.0
2023-01-01,AS,MCO,BWI,949,-8.1,-15.5,312.0,4,0.0,0.0,0.0,0.0,0.0
2023-01-01,AS,ATL,SLC,831,-10.2,-5.7,1221.0,1,0.0,0.0,0.0,0.0,0.0
2023-01-01,WN,LGA,CLT,1335,40.7,26.2,237.0,2,0.0,0.0,0.0,0.0,0.0
2023-01-01,DL,SFO,EWR,600,62.3,49.5,974.0,6,0.0,0.0,0.0,0.0,0.0
2023-01-01,DL,DEN,LGA,2210,18.4,12.7,497.0,6,0.0,0.0,0.0,0.0,0.0
2023-01-01,WN,PHX,MIA,948,5.1,9.9,1257.0,7,0.0,0.0,0.0,0.0,0.0
